195.184.246.1,PH,PH-BUL,MARILAO BULACAN,3019
195.184.246.2,PH,PH-BUL,MARILAO BULACAN,3019
195.184.246.3,PH,PH-BUL,MARILAO BULACAN,3019
195.184.246.4,PH,PH-QUE,TIAONG QUEZON,4235
195.184.246.5,PH,PH-QUE,QUEZON CITY,1113
195.184.246.6,PH,PH-CAV,BACOOR CAVITE,4102
195.184.246.7,PH,PH-PAM,San Fernando Pampanga,2000
195.184.246.8,PH,PH-CEB,CEBU,6045
195.184.246.9,PH,PH-LAG,BiNan Laguna,4024
195.184.246.10,PH,PH-LAG,BiNan Laguna,4024
195.184.246.11,PH,PH-BUL,MARILAO BULACAN,3019
195.184.246.12,PH,PH-QUE,TIAONG QUEZON,4325
195.184.246.13,PH,PH-BUL,MARILAO BULACAN,3019
195.184.246.14,PH,PH-BUL,MARILAO BULACAN,3019
195.184.246.15,PH,PH-BUL,MARILAO BULACAN,3019
195.184.246.16,PH,PH-00,TONDO MANILA,1012
195.184.246.17,PH,PH-BUL,MARILAO BULACAN,3019
195.184.246.18,PH,PH-BUL,MARILAO BULACAN,3019
195.184.246.19,PH,PH-BUL,MARILAO BULACAN,3019
195.184.246.20,PH,PH-NUV,NUEVA VIZCAYA,3710
195.184.246.21,PH,PH-NUV,NUEVA VIZCAYA,3710
195.184.246.22,PH,PH-BUL,MARILAO BULACAN,3019
195.184.246.23,PH,PH-BUL,MARILAO BULACAN,3019
195.184.246.24,PH,PH-BUL,MARILAO BULACAN,3019
195.184.246.25,PH,PH-QUE,TIAONG QUEZON,4235
195.184.246.26,PH,PH-ZAS,PAGADIAN CITY,7016
195.184.246.27,PH,PH-BUL,MARILAO BULACAN,3019
195.184.246.28,PH,PH-BUL,MARILAO BULACAN,3019
195.184.246.29,PH,PH-BUL,MARILAO BULACAN,3019
195.184.246.30,PH,PH-BUL,MARILAO BULACAN,3019
195.184.246.31,PH,PH-BUL,MARILAO BULACAN,3019
195.184.246.32,PH,PH-LAG,CALAMBA LAGUNA,4027
195.184.246.33,PH,PH-CEB,Consolacion Cebu,6001
195.184.246.34,PH,PH-CEB,Liloan Cebu,6002
195.184.246.35,PH,PH-BUL,MARILAO BULACAN,3019
195.184.246.36,PH,PH-AGS,AGUSAN DEL SUR,8504
195.184.246.38,PH,PH-ISA,Echague Isabela,3309
195.184.246.37,PH,PH-BUL,MARILAO BULACAN,3019
195.184.246.39,PH,PH-NUE,Jaen Nueva ecija,3109
195.184.246.40,PH,PH-CAS,NAGA CITY CAMARINES SUR,4400
195.184.246.41,PH,PH-LAG,San Pedro Laguna,4023
195.184.246.42,PH,PH-BUL,MARILAO BULACAN,3019
195.184.246.43,PH,PH-BUL,Hagonoy Bulacan,3002
195.184.246.44,PH,PH-CEB,CEBU,6045
195.184.246.45,PH,PH-BUL,MARILAO BULACAN,3019
195.184.246.46,PH,PH-BUL,MARILAO BULACAN,3019
195.184.246.47,PH,PH-BUL,MARILAO BULACAN,3019
195.184.246.48,PH,PH-BUL,MARILAO BULACAN,3019
195.184.246.49,PH,PH-BUL,MARILAO BULACAN,3019
